DC_red,AC_red,(AC/DC)_red,DC_ir,AC_ir,(AC/DC)_ir,SpO2
89.28164416,0.093990004,0.001052736,121.8435688,0.194412629,0.001595592,95.7838436
89.21490661,0.097748142,0.001095648,121.7837076,0.200394642,0.001645496,95.68344018
89.17971296,0.109636177,0.001229385,121.7374955,0.22204435,0.00182396,95.58302317
89.15677645,0.107935824,0.00121063,121.7125404,0.224082104,0.001841077,95.48262277
89.12186072,0.108910424,0.001222039,121.6786163,0.227535836,0.001869974,95.38220119
89.06210316,0.108682086,0.001220296,121.619987,0.222788199,0.001831839,95.28177343
89.02804889,0.101407438,0.00113905,121.5887833,0.213199064,0.001753444,95.09194407
88.99048767,0.108653525,0.001220957,121.5369507,0.219257299,0.001804038,94.98040703
88.95131285,0.11087389,0.001246456,121.4884291,0.212972412,0.001753026,94.87996167
88.92558625,0.110942277,0.001247586,121.4727076,0.212259651,0.001747386,94.77947648
88.8876757,0.106730693,0.001200737,121.4628508,0.205413009,0.001691159,94.67901988
88.83108709,0.110135461,0.00123983,121.427069,0.208882011,0.001720226,94.48913862
88.81660802,0.102177064,0.001150427,121.4108877,0.192655021,0.001586802,94.2882578
88.76131416,0.097639092,0.001100019,121.4005626,0.192442734,0.001585188,94.08732417
88.73566043,0.102957775,0.001160275,121.3928867,0.194431107,0.001601668,93.88641356
88.67331828,0.103699716,0.001169458,121.4059832,0.189213781,0.001558521,93.68553649
88.58530827,0.098532836,0.001112293,121.3781842,0.167348908,0.00137874,93.57405331
88.53370486,0.118054689,0.001333443,121.2507451,0.179076215,0.001476908,93.38405233
88.50582669,0.13132284,0.001483776,121.1907533,0.179900802,0.001484443,93.18309751
88.44383609,0.138124043,0.001561715,121.1044404,0.188275485,0.001554654,92.98219511
88.39436308,0.150394755,0.001701407,121.0449645,0.215000063,0.0017762,92.78128255
88.36945668,0.156574365,0.001771815,121.0118507,0.208576953,0.001723608,92.66977224
88.37734063,0.167572186,0.001896099,120.9686979,0.234362887,0.001937385,92.47969892
88.37787266,0.167362226,0.001893712,120.942334,0.234904606,0.001942286,92.27872161
88.40937022,0.165922499,0.001876752,120.9457065,0.240335905,0.001987139,92.16731124
88.39729588,0.174598309,0.001975154,120.9068439,0.244674058,0.002023658,92.06678995
88.44094994,0.185047699,0.002092331,120.9533457,0.271216489,0.002242323,91.96629047
88.53336862,0.1548073,0.001748576,121.0536025,0.241725997,0.001996851,92.04490599
88.57204817,0.140863392,0.001590382,121.0958803,0.238587001,0.001970232,92.14540083
88.60546836,0.135359671,0.001527667,121.1496534,0.218495803,0.00180352,92.24587112
88.64086415,0.136879657,0.001544205,121.1506462,0.214070237,0.001766976,92.43589164
88.69086448,0.138576079,0.001562462,121.09386,0.22327863,0.001843848,92.63681067
88.71231806,0.136264557,0.001536027,121.053562,0.221935222,0.001833364,92.92731287
88.7333773,0.138942701,0.001565845,120.9899377,0.230072438,0.001901583,93.31835915
88.78599246,0.137588615,0.001549666,120.9558118,0.232922229,0.00192568,93.63064133
88.81209969,0.130308853,0.001467242,120.8999382,0.232935345,0.001926679,93.93203341
88.82051219,0.138039144,0.001554136,120.7967206,0.244026633,0.002020143,94.23340975
88.83383485,0.145445278,0.001637273,120.7290063,0.249330443,0.002065207,94.44522485
88.83965256,0.143273001,0.001612715,120.5764139,0.249642248,0.002070407,94.64612227
88.84901608,0.14788275,0.001664428,120.4998131,0.254818502,0.00211468,94.84698404
88.86336592,0.138016692,0.001553134,120.4150216,0.237582325,0.001973029,94.95833389
88.87689028,0.144195118,0.001622414,120.364024,0.250685468,0.002082728,95.05881787
88.89753451,0.141653343,0.001593445,120.3247507,0.236219826,0.001963186,95.15928257
88.88910521,0.131437769,0.001478671,120.2742489,0.22695101,0.001886946,95.17014965
88.86306182,0.127084282,0.001430114,120.1910061,0.217992043,0.001813713,95.17016341
88.83959777,0.128521265,0.001446666,120.1435867,0.214005835,0.001781251,95.17016605
88.81586719,0.137308961,0.001545996,120.083205,0.213729423,0.001779844,95.17017732
88.79628303,0.136897569,0.001541704,120.052738,0.209506129,0.001745117,95.17020681
88.82080032,0.149754705,0.001686032,120.0774015,0.223608068,0.001862199,95.17022921
88.83524874,0.137373879,0.001546389,120.0955526,0.219659701,0.001829041,95.25997707
88.85199031,0.125183112,0.001408895,120.1162254,0.225932062,0.001880945,95.36039469
88.85642555,0.117014567,0.001316895,120.1166787,0.215888793,0.001797326,95.46082103
88.84893557,0.131028118,0.001474729,120.1066033,0.220902277,0.001839218,95.56124655
88.85743791,0.135946048,0.001529934,120.1040257,0.231767833,0.001929726,95.66163641
