DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
89.81183091,0.122181971,122.2322712,0.220061637,0.001360422,0.001800356,0.755640312,96.17447385
89.80892693,0.124547093,122.2346605,0.230335266,0.001386801,0.001884369,0.735949515,96.17448904
89.79774952,0.126523516,122.2373843,0.234259859,0.001408983,0.001916434,0.735210958,96.17448987
89.7784004,0.133736237,122.2544366,0.232704644,0.001489626,0.001903445,0.782594539,96.1744917
89.77732009,0.119938092,122.2723668,0.215868537,0.001335951,0.001765473,0.756709993,96.17445349
89.75849537,0.105770118,122.2670006,0.193799134,0.001178386,0.001585049,0.743438162,96.17440758
89.74602286,0.109551926,122.277796,0.191124072,0.001220688,0.001563032,0.780974797,96.17437039
89.72192881,0.101172985,122.243538,0.187797339,0.001127628,0.001536256,0.734010784,96.17433177
89.71936045,0.101835564,122.2359083,0.191481189,0.001135046,0.001566489,0.724579418,96.17432285
89.7140734,0.095867285,122.2062774,0.174432629,0.001068587,0.001427362,0.748644505,96.17433128
89.65903694,0.091605203,122.1695228,0.164432669,0.001021706,0.001345939,0.759103234,96.17434729
89.60881422,0.094287509,122.1337893,0.165360884,0.001052212,0.001353932,0.77715291,96.17434851
89.53503122,0.103697253,122.0635104,0.180164007,0.001158175,0.001475986,0.784679104,96.1743555
89.48186857,0.093859945,122.0265391,0.172061464,0.001048927,0.001410033,0.74390235,96.08504142
89.42488389,0.099659297,121.9685317,0.180769579,0.001114447,0.0014821,0.751937741,95.98462575
89.34332681,0.103777105,121.9010072,0.194923489,0.001161554,0.001599031,0.726411229,95.88425717
89.28164416,0.093990004,121.8435688,0.194412629,0.001052736,0.001595592,0.65977769,95.7838436
89.21490661,0.097748142,121.7837076,0.200394642,0.001095648,0.001645496,0.665846581,95.68344018
89.17971296,0.109636177,121.7374955,0.22204435,0.001229385,0.00182396,0.674019479,95.58302317
89.15677645,0.107935824,121.7125404,0.224082104,0.00121063,0.001841077,0.657566086,95.48262277
